nombre,id,url
Elisa Lucinda,1330139,https://www.goodreads.com/author/list/1330139?page=1&per_page=100
Vanessa Barbara,5261381,https://www.goodreads.com/author/list/5261381?page=1&per_page=100
Patrícia Melo,488329,https://www.goodreads.com/author/list/488329?page=1&per_page=100
Débora Ferraz,8396562,https://www.goodreads.com/author/list/8396562?page=1&per_page=100
Noemi Jaffe,255131,https://www.goodreads.com/author/list/255131?page=1&per_page=100
Aline Valek,7202024,https://www.goodreads.com/author/list/7202024?page=1&per_page=100
Ana Rüsche,17529764,https://www.goodreads.com/author/list/17529764?page=1&per_page=100
Luci Collin,6998023,https://www.goodreads.com/author/list/6998023?page=1&per_page=100
Carol Bensimon,1690779,https://www.goodreads.com/author/list/1690779?page=1&per_page=100
Tatiana Salem Levy,2467680,https://www.goodreads.com/author/list/2467680?page=1&per_page=100
Ana Martins Marques,5446129,https://www.goodreads.com/author/list/5446129?page=1&per_page=100
Cristiane Sobral,6474876,https://www.goodreads.com/author/list/6474876?page=1&per_page=100
Clara Averbuck,6655805,https://www.goodreads.com/author/list/6655805?page=1&per_page=100
Socorro Acioli,4101421,https://www.goodreads.com/author/list/4101421?page=1&per_page=100
Ophir Alviárez,24082699,https://www.goodreads.com/author/list/24082699?page=1&per_page=100
Raiza Andrade,6102809,https://www.goodreads.com/author/list/6102809?page=1&per_page=100
Laura Antillano,1482690,https://www.goodreads.com/author/list/1482690?page=1&per_page=100
Jean Aristeguieta,22197957,https://www.goodreads.com/author/list/22197957?page=1&per_page=100
Edda Armas,14535025,https://www.goodreads.com/author/list/14535025?page=1&per_page=100
Carmen Verde Arocha,773738,https://www.goodreads.com/author/list/773738?page=1&per_page=100
Enriqueta Arvelo Larriva,6847503,https://www.goodreads.com/author/list/6847503?page=1&per_page=100
Mariela Arvelo,22581358,https://www.goodreads.com/author/list/22581358?page=1&per_page=100
